covid_vacc_date,total,40-49,30-39,18-29,70-79,50-54,55-59,60-64,80+,65-69,shielding (aged 16-69),16-17,care home,LD (aged 16-64)
2021 10 Apr,11102259.0,1156281.0,732683.0,556997.0,1961715.0,1308363.0,1319332.0,1150002.0,1032794.0,989485.0,726586.0,19152.0,82733.0,66136.0
2021 11 Apr,11116847.0,1163729.0,735266.0,557851.0,1961904.0,1310015.0,1320102.0,1150373.0,1032871.0,989625.0,726859.0,19313.0,82747.0,66192.0
2021 12 Apr,11125828.0,1167040.0,737086.0,558516.0,1962170.0,1311156.0,1320802.0,1150716.0,1032990.0,989821.0,727146.0,19362.0,82789.0,66234.0
2021 13 Apr,11141984.0,1176784.0,739445.0,559139.0,1962485.0,1312304.0,1321551.0,1151108.0,1033123.0,990038.0,727468.0,19411.0,82838.0,66290.0
2021 14 Apr,11171895.0,1198792.0,742210.0,560686.0,1962849.0,1313473.0,1322293.0,1151472.0,1033277.0,990248.0,727818.0,19516.0,82908.0,66353.0
2021 15 Apr,11210871.0,1230600.0,744436.0,561806.0,1963227.0,1314691.0,1323049.0,1151857.0,1033459.0,990486.0,728210.0,19656.0,82950.0,66444.0
2021 16 Apr,11251856.0,1263374.0,746907.0,563430.0,1963738.0,1315909.0,1323840.0,1152242.0,1033683.0,990710.0,728602.0,19887.0,83013.0,66521.0
2021 17 Apr,11298917.0,1301867.0,749770.0,564956.0,1964123.0,1317267.0,1324673.0,1152669.0,1033865.0,990948.0,728980.0,20174.0,83020.0,66605.0
2021 18 Apr,11329738.0,1325450.0,753844.0,566055.0,1964319.0,1317946.0,1325086.0,1152844.0,1033956.0,991053.0,729190.0,20328.0,83020.0,66647.0
2021 19 Apr,11358991.0,1350776.0,755097.0,566699.0,1964557.0,1318569.0,1325499.0,1153082.0,1034047.0,991172.0,729400.0,20349.0,83055.0,66689.0
2021 20 Apr,11387306.0,1374226.0,756938.0,567413.0,1964816.0,1319248.0,1325912.0,1153327.0,1034166.0,991354.0,729680.0,20398.0,83090.0,66738.0
2021 21 Apr,11421571.0,1401841.0,759759.0,568351.0,1965145.0,1320095.0,1326444.0,1153621.0,1034299.0,991543.0,730016.0,20524.0,83125.0,66808.0
2021 22 Apr,11459581.0,1431864.0,762881.0,570192.0,1965565.0,1320977.0,1327032.0,1153915.0,1034432.0,991725.0,730338.0,20629.0,83153.0,66878.0
2021 23 Apr,11500125.0,1461019.0,769566.0,571662.0,1965971.0,1321985.0,1327606.0,1154244.0,1034530.0,991956.0,730695.0,20769.0,83174.0,66948.0
2021 24 Apr,11552317.0,1501136.0,776321.0,573363.0,1966384.0,1323126.0,1328299.0,1154587.0,1034614.0,992180.0,731101.0,21007.0,83181.0,67018.0
