covid_vacc_date,F,M,F_total,M_total
2022-05-16,311346.0,324072.0,574763,602861
2022-05-17,311451.0,324198.0,574763,602861
2022-05-18,311612.0,324338.0,574763,602861
2022-05-19,311738.0,324443.0,574763,602861
2022-05-20,311920.0,324611.0,574763,602861
2022-05-21,312214.0,324961.0,574763,602861
2022-05-22,312361.0,325108.0,574763,602861
2022-05-23,312438.0,325206.0,574763,602861
2022-05-24,312543.0,325325.0,574763,602861
2022-05-25,312655.0,325444.0,574763,602861
2022-05-26,312746.0,325528.0,574763,602861
2022-05-27,312851.0,325626.0,574763,602861
2022-05-28,313131.0,325899.0,574763,602861
2022-05-29,313250.0,326018.0,574763,602861
2022-05-30,313411.0,326193.0,574763,602861
2022-05-31,313593.0,326389.0,574763,602861
2022-06-01,313803.0,326592.0,574763,602861
2022-06-02,313817.0,326606.0,574763,602861
2022-06-03,313845.0,326627.0,574763,602861
2022-06-04,313992.0,326795.0,574763,602861
2022-06-05,314055.0,326858.0,574763,602861
2022-06-06,314118.0,326921.0,574763,602861
2022-06-07,314195.0,326977.0,574763,602861
2022-06-08,314258.0,327047.0,574763,602861
2022-06-09,314307.0,327117.0,574763,602861
2022-06-10,314363.0,327194.0,574763,602861
2022-06-11,314622.0,327467.0,574763,602861
2022-06-12,314741.0,327586.0,574763,602861
2022-06-13,314790.0,327628.0,574763,602861
2022-06-14,314860.0,327705.0,574763,602861
2022-06-15,314944.0,327789.0,574763,602861
2022-06-16,315014.0,327852.0,574763,602861
2022-06-17,315098.0,327922.0,574763,602861
2022-06-18,315308.0,328146.0,574763,602861
2022-06-19,315399.0,328237.0,574763,602861
2022-06-20,315448.0,328286.0,574763,602861
2022-06-21,315504.0,328335.0,574763,602861
2022-06-22,315574.0,328405.0,574763,602861
