covid_vacc_date,total,18-29,30-39,40-49,70-79,50-54,55-59,60-64,65-69,80+,shielding (aged 16-69),16-17,care home,LD (aged 16-64)
2021 21 May,12760475.0,642838.0,1168475.0,2146347.0,1990667.0,1344154.0,1356579.0,1185065.0,1009022.0,1006096.0,718403.0,20188.0,103614.0,69027.0
2021 22 May,12825939.0,648004.0,1208347.0,2163441.0,1990842.0,1345400.0,1357216.0,1185513.0,1009232.0,1006131.0,718767.0,20342.0,103621.0,69083.0
2021 23 May,12865055.0,650769.0,1235206.0,2171232.0,1990926.0,1346058.0,1357545.0,1185744.0,1009330.0,1006159.0,718956.0,20398.0,103621.0,69111.0
2021 24 May,12901336.0,652547.0,1261183.0,2177945.0,1991038.0,1346660.0,1357902.0,1186024.0,1009463.0,1006187.0,719159.0,20447.0,103628.0,69153.0
2021 25 May,12961186.0,659904.0,1303197.0,2185799.0,1991199.0,1347437.0,1358455.0,1186360.0,1009652.0,1006236.0,719509.0,20566.0,103642.0,69230.0
2021 26 May,13043709.0,672511.0,1361437.0,2194234.0,1991388.0,1348368.0,1359099.0,1186752.0,1009834.0,1006306.0,719999.0,20790.0,103670.0,69321.0
2021 27 May,13127597.0,683109.0,1422757.0,2202907.0,1991563.0,1349355.0,1359806.0,1187165.0,1010037.0,1006383.0,720482.0,20937.0,103691.0,69405.0
2021 28 May,13192837.0,689521.0,1471211.0,2210509.0,1991745.0,1350202.0,1360352.0,1187536.0,1010205.0,1006446.0,720902.0,21035.0,103705.0,69468.0
2021 29 May,13248809.0,695394.0,1511461.0,2217705.0,1991885.0,1351084.0,1360947.0,1187872.0,1010359.0,1006481.0,721266.0,21133.0,103705.0,69517.0
2021 30 May,13288191.0,698915.0,1541939.0,2221625.0,1991955.0,1351532.0,1361283.0,1188068.0,1010457.0,1006495.0,721476.0,21196.0,103712.0,69538.0
2021 31 May,13316247.0,704508.0,1560993.0,2223928.0,1992018.0,1351889.0,1361521.0,1188222.0,1010527.0,1006509.0,721609.0,21259.0,103712.0,69552.0
2021 01 Jun,13346067.0,708610.0,1582266.0,2226896.0,1992102.0,1352351.0,1361885.0,1188425.0,1010625.0,1006537.0,721770.0,21308.0,103719.0,69573.0
2021 02 Jun,13396383.0,718025.0,1617357.0,2230704.0,1992221.0,1352960.0,1362305.0,1188656.0,1010744.0,1006572.0,722057.0,21420.0,103733.0,69629.0
2021 03 Jun,13451263.0,729589.0,1654632.0,2234442.0,1992354.0,1353639.0,1362788.0,1188929.0,1010870.0,1006635.0,722358.0,21602.0,103747.0,69678.0
2021 04 Jun,13505324.0,742070.0,1690556.0,2238012.0,1992459.0,1354283.0,1363257.0,1189188.0,1011003.0,1006670.0,722610.0,21742.0,103754.0,69720.0
2021 05 Jun,13572377.0,760179.0,1732003.0,2242891.0,1992571.0,1355123.0,1363824.0,1189454.0,1011136.0,1006719.0,722967.0,21966.0,103761.0,69783.0
2021 06 Jun,13610289.0,768824.0,1757021.0,2245712.0,1992634.0,1355564.0,1364146.0,1189615.0,1011213.0,1006740.0,723184.0,22064.0,103761.0,69811.0
2021 07 Jun,13645030.0,775712.0,1780730.0,2248393.0,1992725.0,1356005.0,1364454.0,1189755.0,1011318.0,1006761.0,723401.0,22162.0,103768.0,69846.0
2021 08 Jun,13684468.0,786989.0,1804572.0,2251067.0,1992837.0,1356446.0,1364783.0,1189930.0,1011423.0,1006796.0,723632.0,22337.0,103775.0,69881.0
2021 09 Jun,13743646.0,814324.0,1830906.0,2254525.0,1992942.0,1357048.0,1365168.0,1190189.0,1011542.0,1006831.0,723975.0,22470.0,103789.0,69937.0
2021 10 Jun,13805316.0,843486.0,1858136.0,2257773.0,1993068.0,1357629.0,1365546.0,1190406.0,1011668.0,1006880.0,724269.0,22638.0,103803.0,70014.0
2021 11 Jun,13868218.0,872389.0,1886416.0,2261434.0,1993194.0,1358245.0,1365966.0,1190581.0,1011815.0,1006922.0,724570.0,22813.0,103810.0,70063.0
2021 12 Jun,13953401.0,920612.0,1916579.0,2265599.0,1993306.0,1358924.0,1366442.0,1190847.0,1011913.0,1006971.0,724983.0,23233.0,103817.0,70175.0
2021 13 Jun,14001435.0,948283.0,1933379.0,2267888.0,1993362.0,1359295.0,1366701.0,1190966.0,1011962.0,1006985.0,725158.0,23429.0,103817.0,70210.0
2021 14 Jun,14041314.0,971236.0,1947071.0,2269911.0,1993446.0,1359645.0,1366967.0,1191092.0,1012025.0,1007013.0,725326.0,23506.0,103824.0,70252.0
2021 15 Jun,14094661.0,1004724.0,1962709.0,2272410.0,1993537.0,1360121.0,1367282.0,1191253.0,1012116.0,1007041.0,725550.0,23786.0,103831.0,70301.0
2021 16 Jun,14159495.0,1049377.0,1978256.0,2275154.0,1993656.0,1360646.0,1367611.0,1191442.0,1012207.0,1007083.0,725837.0,23996.0,103852.0,70378.0
2021 17 Jun,14237286.0,1104915.0,1995651.0,2278052.0,1993754.0,1361178.0,1367968.0,1191631.0,1012326.0,1007118.0,726166.0,24199.0,103873.0,70455.0
2021 18 Jun,14310828.0,1157898.0,2011436.0,2281020.0,1993845.0,1361633.0,1368318.0,1191820.0,1012424.0,1007160.0,726488.0,24367.0,103887.0,70532.0
2021 19 Jun,14406539.0,1228745.0,2029440.0,2285094.0,1993943.0,1362417.0,1368808.0,1192100.0,1012543.0,1007202.0,726915.0,24808.0,103887.0,70637.0
2021 20 Jun,14461139.0,1272061.0,2038050.0,2286718.0,1993985.0,1362704.0,1368990.0,1192191.0,1012585.0,1007230.0,727083.0,24969.0,103894.0,70679.0
2021 21 Jun,14507451.0,1308237.0,2045484.0,2288398.0,1994041.0,1363026.0,1369151.0,1192296.0,1012634.0,1007244.0,727265.0,25053.0,103894.0,70728.0
2021 22 Jun,14565915.0,1354556.0,2054059.0,2290491.0,1994118.0,1363432.0,1369438.0,1192436.0,1012711.0,1007265.0,727538.0,25165.0,103908.0,70798.0
2021 23 Jun,14631883.0,1406972.0,2063824.0,2292661.0,1994202.0,1363859.0,1369718.0,1192604.0,1012795.0,1007300.0,727797.0,25347.0,103915.0,70889.0
2021 24 Jun,14699699.0,1461124.0,2073414.0,2294971.0,1994307.0,1364307.0,1369998.0,1192786.0,1012900.0,1007335.0,728105.0,25550.0,103929.0,70973.0
2021 25 Jun,14762272.0,1509781.0,2082962.0,2297484.0,1994398.0,1364860.0,1370299.0,1192947.0,1013005.0,1007363.0,728427.0,25767.0,103943.0,71036.0
2021 26 Jun,14840077.0,1568959.0,2094946.0,2301264.0,1994524.0,1365686.0,1370838.0,1193255.0,1013159.0,1007405.0,728826.0,26103.0,103957.0,71155.0
2021 27 Jun,14886158.0,1604841.0,2101582.0,2303343.0,1994587.0,1366148.0,1371104.0,1193395.0,1013243.0,1007426.0,729036.0,26285.0,103957.0,71211.0
2021 28 Jun,14919716.0,1631385.0,2106139.0,2304757.0,1994643.0,1366421.0,1371293.0,1193514.0,1013306.0,1007454.0,729225.0,26369.0,103957.0,71253.0
2021 29 Jun,14959392.0,1662269.0,2111977.0,2306388.0,1994720.0,1366764.0,1371531.0,1193647.0,1013390.0,1007475.0,729449.0,26481.0,103971.0,71330.0
2021 30 Jun,15002421.0,1694882.0,2118788.0,2308369.0,1994804.0,1367198.0,1371818.0,1193815.0,1013467.0,1007503.0,729736.0,26663.0,103978.0,71400.0
2021 01 Jul,15047228.0,1729371.0,2125557.0,2310273.0,1994909.0,1367597.0,1372126.0,1193990.0,1013572.0,1007531.0,730009.0,26838.0,103992.0,71463.0
2021 02 Jul,15082613.0,1755628.0,2131388.0,2312128.0,1994993.0,1367996.0,1372357.0,1194137.0,1013663.0,1007559.0,730233.0,27013.0,103999.0,71519.0
2021 03 Jul,15127616.0,1789361.0,2138451.0,2314487.0,1995070.0,1368521.0,1372665.0,1194305.0,1013761.0,1007587.0,730513.0,27286.0,103999.0,71610.0
2021 04 Jul,15150842.0,1807071.0,2142042.0,2315586.0,1995112.0,1368780.0,1372819.0,1194396.0,1013796.0,1007594.0,730632.0,27377.0,103999.0,71638.0
2021 05 Jul,15172010.0,1822597.0,2145444.0,2316811.0,1995161.0,1369074.0,1372994.0,1194501.0,1013859.0,1007608.0,730800.0,27475.0,104006.0,71680.0
2021 06 Jul,15197868.0,1841623.0,2149679.0,2318253.0,1995224.0,1369382.0,1373197.0,1194620.0,1013929.0,1007629.0,730989.0,27594.0,104013.0,71736.0
2021 07 Jul,15225672.0,1860999.0,2154859.0,2320038.0,1995301.0,1369760.0,1373456.0,1194802.0,1013999.0,1007657.0,731234.0,27741.0,104027.0,71799.0
2021 08 Jul,15255002.0,1881817.0,2160060.0,2321830.0,1995392.0,1370152.0,1373729.0,1194935.0,1014104.0,1007678.0,731479.0,27951.0,104034.0,71841.0
2021 09 Jul,15281959.0,1900031.0,2165380.0,2323699.0,1995511.0,1370572.0,1373974.0,1195089.0,1014188.0,1007706.0,731745.0,28133.0,104041.0,71890.0
2021 10 Jul,15311821.0,1919638.0,2171498.0,2326030.0,1995595.0,1371111.0,1374289.0,1195257.0,1014279.0,1007734.0,732018.0,28350.0,104048.0,71974.0
2021 11 Jul,15325275.0,1928402.0,2174340.0,2327059.0,1995630.0,1371349.0,1374450.0,1195348.0,1014328.0,1007741.0,732144.0,28441.0,104048.0,71995.0
2021 12 Jul,15338274.0,1936865.0,2177056.0,2328081.0,1995665.0,1371594.0,1374597.0,1195425.0,1014363.0,1007762.0,732270.0,28525.0,104055.0,72016.0
2021 13 Jul,15353933.0,1946994.0,2180437.0,2329229.0,1995728.0,1371853.0,1374765.0,1195537.0,1014426.0,1007776.0,732438.0,28651.0,104055.0,72044.0
2021 14 Jul,15373071.0,1959272.0,2184588.0,2330622.0,1995805.0,1372189.0,1374968.0,1195670.0,1014489.0,1007797.0,732641.0,28882.0,104062.0,72086.0
2021 15 Jul,15392426.0,1971158.0,2189047.0,2332183.0,1995875.0,1372546.0,1375227.0,1195810.0,1014587.0,1007825.0,732900.0,29050.0,104069.0,72149.0
2021 16 Jul,15410738.0,1981686.0,2193821.0,2333807.0,1995959.0,1372910.0,1375465.0,1195950.0,1014657.0,1007853.0,733117.0,29225.0,104076.0,72212.0
2021 17 Jul,15434552.0,1995882.0,2199344.0,2335907.0,1996036.0,1373407.0,1375822.0,1196139.0,1014741.0,1007888.0,733376.0,29659.0,104076.0,72275.0
2021 18 Jul,15445724.0,2002476.0,2202088.0,2336915.0,1996071.0,1373624.0,1375976.0,1196202.0,1014797.0,1007895.0,733474.0,29834.0,104076.0,72296.0
2021 19 Jul,15456742.0,2009021.0,2204797.0,2337930.0,1996113.0,1373848.0,1376109.0,1196272.0,1014832.0,1007909.0,733586.0,29925.0,104083.0,72317.0
2021 20 Jul,15468453.0,2015965.0,2207660.0,2338938.0,1996169.0,1374086.0,1376256.0,1196363.0,1014888.0,1007916.0,733705.0,30093.0,104083.0,72331.0
2021 21 Jul,15482432.0,2024218.0,2210985.0,2340191.0,1996225.0,1374345.0,1376445.0,1196482.0,1014951.0,1007951.0,733852.0,30317.0,104097.0,72373.0
2021 22 Jul,15495984.0,2032177.0,2214212.0,2341388.0,1996295.0,1374653.0,1376627.0,1196587.0,1015007.0,1007965.0,734027.0,30541.0,104097.0,72408.0
2021 23 Jul,15508843.0,2039457.0,2217404.0,2342592.0,1996351.0,1374912.0,1376809.0,1196699.0,1015056.0,1007986.0,734181.0,30842.0,104104.0,72450.0
2021 24 Jul,15523865.0,2047850.0,2221177.0,2344062.0,1996407.0,1375213.0,1377040.0,1196818.0,1015119.0,1007993.0,734356.0,31227.0,104111.0,72492.0
2021 25 Jul,15532391.0,2052855.0,2223298.0,2344839.0,1996428.0,1375381.0,1377152.0,1196881.0,1015147.0,1008000.0,734440.0,31353.0,104111.0,72506.0
2021 26 Jul,15541148.0,2058007.0,2225384.0,2345581.0,1996456.0,1375577.0,1377271.0,1196944.0,1015189.0,1008007.0,734559.0,31528.0,104111.0,72534.0
2021 27 Jul,15550906.0,2063621.0,2227771.0,2346421.0,1996498.0,1375766.0,1377418.0,1197021.0,1015238.0,1008028.0,734685.0,31766.0,104118.0,72555.0
2021 28 Jul,15562372.0,2070159.0,2230543.0,2347450.0,1996547.0,1376032.0,1377558.0,1197105.0,1015280.0,1008056.0,734825.0,32116.0,104118.0,72583.0
2021 29 Jul,15573901.0,2076753.0,2233210.0,2348437.0,1996624.0,1376291.0,1377726.0,1197203.0,1015343.0,1008063.0,735000.0,32501.0,104125.0,72625.0
2021 30 Jul,15584240.0,2082402.0,2235800.0,2349375.0,1996666.0,1376522.0,1377887.0,1197294.0,1015392.0,1008084.0,735126.0,32900.0,104125.0,72667.0
2021 31 Jul,15597379.0,2089437.0,2239027.0,2350593.0,1996715.0,1376809.0,1378069.0,1197378.0,1015448.0,1008112.0,735301.0,33642.0,104132.0,72716.0
2021 01 Aug,15604645.0,2093679.0,2240861.0,2351167.0,1996743.0,1376956.0,1378153.0,1197434.0,1015462.0,1008119.0,735378.0,33831.0,104132.0,72730.0
2021 02 Aug,15612422.0,2098040.0,2242779.0,2351923.0,1996764.0,1377110.0,1378265.0,1197504.0,1015511.0,1008133.0,735483.0,34034.0,104132.0,72744.0
2021 03 Aug,15621263.0,2103010.0,2244900.0,2352679.0,1996820.0,1377306.0,1378412.0,1197574.0,1015560.0,1008147.0,735623.0,34314.0,104139.0,72779.0
2021 04 Aug,15631343.0,2108582.0,2247308.0,2353533.0,1996869.0,1377523.0,1378545.0,1197665.0,1015609.0,1008175.0,735777.0,34797.0,104146.0,72814.0
2021 05 Aug,15641325.0,2114070.0,2249667.0,2354373.0,1996918.0,1377747.0,1378699.0,1197756.0,1015658.0,1008189.0,735903.0,35343.0,104146.0,72856.0
2021 06 Aug,15650880.0,2118956.0,2252075.0,2355297.0,1996960.0,1377964.0,1378867.0,1197847.0,1015707.0,1008210.0,736043.0,35917.0,104153.0,72884.0
2021 07 Aug,15665069.0,2125256.0,2255036.0,2356347.0,1997009.0,1378251.0,1379035.0,1197966.0,1015749.0,1008224.0,736218.0,38892.0,104160.0,72926.0
2021 08 Aug,15673028.0,2128686.0,2256590.0,2356879.0,1997030.0,1378398.0,1379133.0,1198008.0,1015777.0,1008231.0,736288.0,40908.0,104160.0,72940.0
2021 09 Aug,15680518.0,2132585.0,2258389.0,2357502.0,1997058.0,1378552.0,1379252.0,1198071.0,1015805.0,1008245.0,736379.0,41559.0,104160.0,72961.0
2021 10 Aug,15690395.0,2136547.0,2260398.0,2358223.0,1997107.0,1378741.0,1379378.0,1198148.0,1015840.0,1008259.0,736498.0,44107.0,104167.0,72982.0
2021 11 Aug,15703170.0,2141293.0,2262624.0,2359063.0,1997149.0,1378951.0,1379511.0,1198232.0,1015889.0,1008273.0,736631.0,48370.0,104167.0,73017.0
2021 12 Aug,15716428.0,2146004.0,2264843.0,2359917.0,1997205.0,1379175.0,1379637.0,1198358.0,1015945.0,1008287.0,736771.0,53067.0,104174.0,73045.0
2021 13 Aug,15727642.0,2150106.0,2266880.0,2360589.0,1997247.0,1379364.0,1379735.0,1198442.0,1015994.0,1008308.0,736897.0,56826.0,104181.0,73073.0
2021 14 Aug,15743294.0,2154796.0,2269197.0,2361450.0,1997282.0,1379567.0,1379875.0,1198526.0,1016036.0,1008322.0,737030.0,63910.0,104181.0,73122.0
2021 15 Aug,15753661.0,2157792.0,2270457.0,2361905.0,1997296.0,1379686.0,1379945.0,1198568.0,1016050.0,1008322.0,737093.0,69223.0,104181.0,73143.0
2021 16 Aug,15764056.0,2161264.0,2271976.0,2362507.0,1997324.0,1379840.0,1380029.0,1198638.0,1016092.0,1008336.0,737198.0,73493.0,104188.0,73171.0
2021 17 Aug,15776635.0,2164918.0,2273537.0,2363109.0,1997359.0,1379980.0,1380134.0,1198701.0,1016120.0,1008343.0,737310.0,79744.0,104188.0,73192.0
2021 18 Aug,15792749.0,2169006.0,2275343.0,2363732.0,1997394.0,1380155.0,1380246.0,1198764.0,1016162.0,1008350.0,737443.0,88732.0,104195.0,73227.0
2021 19 Aug,15809479.0,2172926.0,2277107.0,2364376.0,1997443.0,1380309.0,1380365.0,1198834.0,1016211.0,1008371.0,737569.0,98497.0,104202.0,73269.0
2021 20 Aug,15829709.0,2176881.0,2279032.0,2365027.0,1997478.0,1380470.0,1380477.0,1198904.0,1016253.0,1008385.0,737702.0,111594.0,104209.0,73297.0
2021 21 Aug,15854174.0,2181557.0,2281076.0,2365853.0,1997520.0,1380680.0,1380610.0,1199002.0,1016288.0,1008399.0,737835.0,127799.0,104209.0,73346.0
2021 22 Aug,15866767.0,2184133.0,2282182.0,2366217.0,1997541.0,1380792.0,1380673.0,1199037.0,1016302.0,1008399.0,737884.0,136024.0,104209.0,73374.0
2021 23 Aug,15880823.0,2187136.0,2283435.0,2366672.0,1997569.0,1380904.0,1380778.0,1199079.0,1016337.0,1008413.0,737968.0,144928.0,104209.0,73395.0
2021 24 Aug,15899891.0,2190916.0,2285129.0,2367288.0,1997611.0,1381058.0,1380876.0,1199142.0,1016372.0,1008434.0,738094.0,157318.0,104209.0,73444.0
2021 25 Aug,15920905.0,2194759.0,2286900.0,2368002.0,1997646.0,1381247.0,1380988.0,1199226.0,1016421.0,1008455.0,738255.0,171283.0,104223.0,73500.0
2021 26 Aug,15938090.0,2198448.0,2288629.0,2368695.0,1997688.0,1381429.0,1381107.0,1199310.0,1016463.0,1008469.0,738381.0,181699.0,104223.0,73549.0
2021 27 Aug,15952160.0,2201696.0,2290274.0,2369339.0,1997716.0,1381576.0,1381212.0,1199359.0,1016505.0,1008483.0,738528.0,189651.0,104230.0,73591.0
2021 28 Aug,15966734.0,2205042.0,2292010.0,2369948.0,1997737.0,1381716.0,1381303.0,1199415.0,1016526.0,1008490.0,738612.0,198079.0,104230.0,73626.0
2021 29 Aug,15974581.0,2206932.0,2292920.0,2370270.0,1997744.0,1381793.0,1381359.0,1199443.0,1016540.0,1008490.0,738675.0,202545.0,104230.0,73640.0
2021 30 Aug,15980727.0,2208521.0,2293683.0,2370557.0,1997758.0,1381856.0,1381394.0,1199471.0,1016547.0,1008497.0,738717.0,205835.0,104237.0,73654.0
2021 31 Aug,15993670.0,2211405.0,2295027.0,2371075.0,1997800.0,1381982.0,1381478.0,1199520.0,1016582.0,1008504.0,738815.0,213556.0,104237.0,73689.0
2021 01 Sep,16006375.0,2214674.0,2296469.0,2371607.0,1997835.0,1382122.0,1381590.0,1199569.0,1016610.0,1008511.0,738906.0,220514.0,104237.0,73731.0
2021 02 Sep,16018170.0,2217915.0,2297946.0,2372146.0,1997863.0,1382269.0,1381667.0,1199618.0,1016645.0,1008518.0,739018.0,226569.0,104237.0,73759.0
2021 03 Sep,16029790.0,2221233.0,2299647.0,2372804.0,1997891.0,1382402.0,1381772.0,1199674.0,1016673.0,1008532.0,739151.0,231973.0,104244.0,73794.0
2021 04 Sep,16042404.0,2224866.0,2301446.0,2373483.0,1997926.0,1382563.0,1381877.0,1199723.0,1016708.0,1008539.0,739277.0,237916.0,104244.0,73836.0
2021 05 Sep,16048417.0,2226875.0,2302370.0,2373791.0,1997940.0,1382654.0,1381926.0,1199758.0,1016722.0,1008546.0,739319.0,240429.0,104244.0,73843.0
2021 06 Sep,16055095.0,2229269.0,2303567.0,2374232.0,1997961.0,1382773.0,1382003.0,1199807.0,1016743.0,1008553.0,739417.0,242662.0,104244.0,73864.0
2021 07 Sep,16062081.0,2231887.0,2304785.0,2374680.0,1997996.0,1382878.0,1382080.0,1199863.0,1016771.0,1008560.0,739515.0,244944.0,104244.0,73878.0
2021 08 Sep,16069438.0,2234666.0,2306192.0,2375205.0,1998038.0,1383004.0,1382150.0,1199905.0,1016799.0,1008574.0,739613.0,247135.0,104244.0,73913.0
2021 09 Sep,16076900.0,2237473.0,2307557.0,2375744.0,1998080.0,1383116.0,1382220.0,1199961.0,1016834.0,1008588.0,739697.0,249445.0,104251.0,73934.0
2021 10 Sep,16084670.0,2240434.0,2309118.0,2376360.0,1998108.0,1383256.0,1382339.0,1200017.0,1016855.0,1008595.0,739809.0,251580.0,104251.0,73948.0
2021 11 Sep,16093602.0,2243514.0,2310777.0,2376941.0,1998136.0,1383424.0,1382458.0,1200066.0,1016876.0,1008602.0,739921.0,254653.0,104251.0,73983.0
2021 12 Sep,16098152.0,2245348.0,2311708.0,2377249.0,1998136.0,1383515.0,1382507.0,1200101.0,1016883.0,1008609.0,739970.0,255878.0,104251.0,73997.0
2021 13 Sep,16103605.0,2247546.0,2312814.0,2377669.0,1998150.0,1383627.0,1382577.0,1200157.0,1016911.0,1008609.0,740054.0,257236.0,104251.0,74004.0
2021 14 Sep,16109296.0,2249646.0,2313969.0,2378159.0,1998171.0,1383725.0,1382647.0,1200206.0,1016932.0,1008616.0,740145.0,258797.0,104258.0,74025.0
2021 15 Sep,16116163.0,2252040.0,2315278.0,2378740.0,1998192.0,1383872.0,1382759.0,1200262.0,1016960.0,1008623.0,740271.0,260855.0,104258.0,74053.0
2021 16 Sep,16122379.0,2254322.0,2316615.0,2379272.0,1998227.0,1384005.0,1382857.0,1200311.0,1016995.0,1008637.0,740376.0,262423.0,104258.0,74081.0
2021 17 Sep,16128147.0,2256352.0,2317882.0,2379853.0,1998248.0,1384124.0,1382934.0,1200360.0,1017009.0,1008651.0,740474.0,263900.0,104265.0,74095.0
2021 18 Sep,16135392.0,2258956.0,2319310.0,2380462.0,1998276.0,1384264.0,1383032.0,1200402.0,1017044.0,1008672.0,740593.0,266000.0,104265.0,74116.0
2021 19 Sep,16139214.0,2260384.0,2320094.0,2380777.0,1998283.0,1384341.0,1383081.0,1200423.0,1017058.0,1008672.0,740628.0,267092.0,104265.0,74116.0
2021 20 Sep,16144450.0,2262344.0,2321375.0,2381309.0,1998304.0,1384474.0,1383158.0,1200479.0,1017100.0,1008672.0,740740.0,268100.0,104265.0,74130.0
2021 21 Sep,16149875.0,2264325.0,2322607.0,2381827.0,1998339.0,1384607.0,1383249.0,1200528.0,1017135.0,1008686.0,740845.0,269311.0,104272.0,74144.0
2021 22 Sep,16154943.0,2266215.0,2323818.0,2382303.0,1998381.0,1384712.0,1383347.0,1200584.0,1017170.0,1008728.0,740936.0,270291.0,104286.0,74172.0
2021 23 Sep,16160543.0,2268231.0,2325050.0,2382814.0,1998409.0,1384852.0,1383459.0,1200640.0,1017212.0,1008756.0,741048.0,271579.0,104300.0,74193.0
2021 24 Sep,16165821.0,2270142.0,2326261.0,2383339.0,1998444.0,1385013.0,1383557.0,1200689.0,1017247.0,1008833.0,741153.0,272636.0,104300.0,74207.0
2021 25 Sep,16171400.0,2272074.0,2327472.0,2383822.0,1998479.0,1385146.0,1383648.0,1200752.0,1017275.0,1008945.0,741251.0,274008.0,104307.0,74221.0
2021 26 Sep,16174529.0,2273166.0,2328137.0,2384088.0,1998507.0,1385223.0,1383711.0,1200766.0,1017303.0,1008980.0,741286.0,274827.0,104307.0,74228.0
2021 27 Sep,16178519.0,2274699.0,2329054.0,2384438.0,1998542.0,1385314.0,1383809.0,1200815.0,1017324.0,1009043.0,741370.0,275541.0,104321.0,74249.0
2021 28 Sep,16182929.0,2276253.0,2329985.0,2384816.0,1998584.0,1385440.0,1383886.0,1200871.0,1017352.0,1009120.0,741454.0,276549.0,104356.0,74263.0
2021 29 Sep,16187878.0,2277947.0,2331000.0,2385215.0,1998633.0,1385552.0,1383970.0,1200920.0,1017394.0,1009218.0,741552.0,277816.0,104384.0,74277.0
2021 30 Sep,16193100.0,2279669.0,2332057.0,2385663.0,1998717.0,1385685.0,1384075.0,1200983.0,1017436.0,1009323.0,741629.0,279153.0,104426.0,74284.0
2021 01 Oct,16198749.0,2281482.0,2333184.0,2386153.0,1998794.0,1385839.0,1384180.0,1201053.0,1017464.0,1009407.0,741727.0,280707.0,104454.0,74305.0
2021 02 Oct,16204188.0,2283148.0,2334164.0,2386580.0,1998864.0,1385972.0,1384250.0,1201102.0,1017499.0,1009491.0,741811.0,282527.0,104468.0,74312.0
2021 03 Oct,16207695.0,2284205.0,2334787.0,2386797.0,1998906.0,1386035.0,1384306.0,1201130.0,1017506.0,1009533.0,741867.0,283829.0,104475.0,74319.0
2021 04 Oct,16212000.0,2285570.0,2335704.0,2387154.0,1998969.0,1386147.0,1384362.0,1201186.0,1017541.0,1009603.0,741937.0,284998.0,104510.0,74319.0
2021 05 Oct,16216795.0,2287117.0,2336719.0,2387581.0,1999046.0,1386252.0,1384474.0,1201242.0,1017569.0,1009680.0,742035.0,286195.0,104545.0,74340.0
2021 06 Oct,16222262.0,2288916.0,2337846.0,2387973.0,1999172.0,1386385.0,1384579.0,1201291.0,1017618.0,1009778.0,742147.0,287595.0,104601.0,74361.0
2021 07 Oct,16227274.0,2290624.0,2338819.0,2388421.0,1999277.0,1386511.0,1384670.0,1201340.0,1017667.0,1009876.0,742252.0,288785.0,104657.0,74375.0
2021 08 Oct,16232748.0,2292262.0,2340086.0,2388869.0,1999389.0,1386644.0,1384775.0,1201396.0,1017709.0,1009967.0,742371.0,290192.0,104706.0,74382.0
2021 09 Oct,16238649.0,2294124.0,2341164.0,2389373.0,1999550.0,1386798.0,1384866.0,1201459.0,1017758.0,1010093.0,742490.0,291844.0,104734.0,74396.0
2021 10 Oct,16242205.0,2295293.0,2341906.0,2389660.0,1999620.0,1386903.0,1384922.0,1201473.0,1017786.0,1010142.0,742546.0,292817.0,104734.0,74403.0
2021 11 Oct,16246405.0,2296721.0,2342858.0,2390059.0,1999683.0,1387008.0,1385006.0,1201529.0,1017821.0,1010205.0,742644.0,293671.0,104783.0,74417.0
2021 12 Oct,16250864.0,2298282.0,2343887.0,2390458.0,1999781.0,1387127.0,1385104.0,1201592.0,1017856.0,1010282.0,742742.0,294476.0,104846.0,74431.0
2021 13 Oct,16255694.0,2300011.0,2344930.0,2390871.0,1999872.0,1387239.0,1385188.0,1201641.0,1017912.0,1010373.0,742861.0,295435.0,104923.0,74438.0
2021 14 Oct,16260489.0,2301572.0,2346057.0,2391270.0,1999998.0,1387358.0,1385265.0,1201697.0,1017954.0,1010457.0,742980.0,296401.0,105021.0,74459.0
2021 15 Oct,16265732.0,2303329.0,2347191.0,2391732.0,2000131.0,1387505.0,1385363.0,1201760.0,1018017.0,1010541.0,743106.0,297493.0,105084.0,74480.0
2021 16 Oct,16271192.0,2305086.0,2348332.0,2392222.0,2000327.0,1387645.0,1385482.0,1201830.0,1018059.0,1010632.0,743232.0,298746.0,105105.0,74494.0
2021 17 Oct,16274090.0,2306094.0,2348962.0,2392481.0,2000383.0,1387694.0,1385524.0,1201865.0,1018087.0,1010681.0,743274.0,299432.0,105119.0,74494.0
2021 18 Oct,16277954.0,2307494.0,2349858.0,2392852.0,2000481.0,1387799.0,1385587.0,1201914.0,1018115.0,1010744.0,743365.0,300062.0,105175.0,74508.0
2021 19 Oct,16282056.0,2308936.0,2350754.0,2393223.0,2000600.0,1387918.0,1385664.0,1201970.0,1018178.0,1010807.0,743484.0,300755.0,105245.0,74522.0
2021 20 Oct,16287187.0,2310700.0,2351846.0,2393678.0,2000789.0,1388051.0,1385769.0,1202026.0,1018241.0,1010891.0,743589.0,301714.0,105350.0,74543.0
2021 21 Oct,16292213.0,2312436.0,2352945.0,2394084.0,2000978.0,1388156.0,1385860.0,1202110.0,1018325.0,1010982.0,743715.0,302652.0,105420.0,74550.0
2021 22 Oct,16297162.0,2314011.0,2354044.0,2394490.0,2001195.0,1388289.0,1385951.0,1202180.0,1018416.0,1011066.0,743827.0,303639.0,105490.0,74564.0
2021 23 Oct,16303091.0,2315957.0,2355318.0,2395008.0,2001440.0,1388436.0,1386063.0,1202264.0,1018507.0,1011157.0,743974.0,304878.0,105504.0,74585.0
