covid_vacc_date,total,12-15,5-11
2022 04 Feb,559965.0,558992.0,973.0
2022 05 Feb,562352.0,560728.0,1624.0
2022 06 Feb,563206.0,561477.0,1729.0
2022 07 Feb,564620.0,562751.0,1869.0
2022 08 Feb,566517.0,564326.0,2191.0
2022 09 Feb,568316.0,565824.0,2492.0
2022 10 Feb,570598.0,567812.0,2786.0
2022 11 Feb,572551.0,569506.0,3045.0
2022 12 Feb,575701.0,571305.0,4396.0
2022 13 Feb,576996.0,572117.0,4879.0
2022 14 Feb,578389.0,573188.0,5201.0
2022 15 Feb,580118.0,574546.0,5572.0
2022 16 Feb,582085.0,575953.0,6132.0
2022 17 Feb,584003.0,577276.0,6727.0
2022 18 Feb,585095.0,577927.0,7168.0
2022 19 Feb,587216.0,579180.0,8036.0
2022 20 Feb,588119.0,579705.0,8414.0
2022 21 Feb,589197.0,580510.0,8687.0
2022 22 Feb,590422.0,581406.0,9016.0
2022 23 Feb,592109.0,582456.0,9653.0
2022 24 Feb,593551.0,583275.0,10276.0
2022 25 Feb,594832.0,584073.0,10759.0
2022 26 Feb,596533.0,585095.0,11438.0
2022 27 Feb,597394.0,585641.0,11753.0
2022 28 Feb,598318.0,586320.0,11998.0
2022 01 Mar,599298.0,587139.0,12159.0
2022 02 Mar,600152.0,587832.0,12320.0
2022 03 Mar,601013.0,588553.0,12460.0
2022 04 Mar,602091.0,589337.0,12754.0
2022 05 Mar,603512.0,590310.0,13202.0
2022 06 Mar,604247.0,590793.0,13454.0
2022 07 Mar,604898.0,591339.0,13559.0
2022 08 Mar,605528.0,591850.0,13678.0
2022 09 Mar,606368.0,592578.0,13790.0
2022 10 Mar,607180.0,593243.0,13937.0
2022 11 Mar,608013.0,593943.0,14070.0
2022 12 Mar,609371.0,594951.0,14420.0
2022 13 Mar,610071.0,595476.0,14595.0
2022 14 Mar,610659.0,596015.0,14644.0
2022 15 Mar,611408.0,596631.0,14777.0
2022 16 Mar,611989.0,597114.0,14875.0
2022 17 Mar,612535.0,597569.0,14966.0
2022 18 Mar,613277.0,598185.0,15092.0
2022 19 Mar,614446.0,599095.0,15351.0
2022 20 Mar,615006.0,599550.0,15456.0
2022 21 Mar,615692.0,600173.0,15519.0
2022 22 Mar,616245.0,600656.0,15589.0
2022 23 Mar,616805.0,601139.0,15666.0
2022 24 Mar,617358.0,601643.0,15715.0
2022 25 Mar,617974.0,602182.0,15792.0
2022 26 Mar,619178.0,603190.0,15988.0
2022 27 Mar,619689.0,603582.0,16107.0
2022 28 Mar,620165.0,603995.0,16170.0
2022 29 Mar,620655.0,604457.0,16198.0
2022 30 Mar,621278.0,604940.0,16338.0
2022 31 Mar,621887.0,605486.0,16401.0
2022 01 Apr,622433.0,605955.0,16478.0
2022 02 Apr,623721.0,606837.0,16884.0
